judge_model,prompt_template,dataset,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
grok_4_3,minimal,NQ,0.6583333333333333,0.7366666666666667,-0.07833333333333337,0.8816666666666667,0.7195809512525055,0.9696202531645569,0.8665158371040724,0.915173237753883,383,12,146,59,0.0759493670886076,0.1334841628959276,0.0,1.0,5350.383333333333,4564.0,10307.999999999985,0.6479147000000001
grok_4_3,minimal,TQ,0.8266666666666667,0.84,-0.013333333333333308,0.9733333333333334,0.9040000000000001,0.9919354838709677,0.9761904761904762,0.9840000000000001,492,4,92,12,0.041666666666666664,0.023809523809523808,0.0,1.0,5497.041666666667,4745.0,11425.349999999997,0.66884275
k_exaone_236b_a23b,minimal,TQ,0.7995642701525054,0.8366013071895425,-0.03703703703703709,0.9019607843137255,0.6706188156310549,0.9618528610354223,0.9192708333333334,0.9400798934753661,353,14,61,31,0.18666666666666668,0.08072916666666667,0.023404255319148935,0.9765957446808511,22902.31808278867,20033.0,49472.099999999984,0.8851856
kimi_k2_6,minimal,TQ,0.9166666666666666,0.9107142857142857,0.005952380952380931,0.9940476190476191,0.9622599123890825,0.9935064935064936,1.0,0.9967426710097721,153,1,14,0,0.06666666666666667,0.0,0.2037914691943128,0.7962085308056872,13192.297619047618,9287.5,33610.00000000002,0.18456050000000002
mimo_v2_5_pro,minimal,TQ,0.904,0.912,-0.008000000000000007,0.976,0.8563493583604671,0.9911504424778761,0.9824561403508771,0.9867841409691629,112,1,10,2,0.09090909090909091,0.017543859649122806,0.40476190476190477,0.5952380952380952,9754.456,9501.0,13175.199999999999,0.1698218
nemotron_3_super,minimal,NQ,0.644891122278057,0.7386934673366834,-0.09380234505862639,0.8425460636515912,0.6307637646068006,0.9506493506493506,0.8299319727891157,0.8861985472154964,366,19,137,75,0.12179487179487179,0.17006802721088435,0.005,0.995,3506.214405360134,2225.0,10357.99999999998,0.033604110000000006
nemotron_3_super,minimal,TQ,0.8174204355108877,0.8408710217755444,-0.02345058626465668,0.9396984924623115,0.7871657754010692,0.9774590163934426,0.950199203187251,0.9636363636363636,477,11,84,25,0.11578947368421053,0.049800796812749,0.005,0.995,4760.71189279732,3197.0,13659.199999999999,0.03965967000000001
qwen_3_6_max,minimal,NQ,0.775,0.7366666666666667,0.03833333333333333,0.9083333333333333,0.7516472186369948,0.9161290322580645,0.9638009049773756,0.9393605292171996,426,39,119,16,0.2468354430379747,0.03619909502262444,0.0,1.0,25518.011666666665,21148.5,63472.54999999999,3.06215
qwen_3_6_max,minimal,TQ,0.8466666666666667,0.84,0.00666666666666671,0.97,0.8864687578841138,0.9783464566929134,0.9861111111111112,0.982213438735178,497,11,85,7,0.11458333333333333,0.013888888888888888,0.0,1.0,18049.568333333333,18371.5,33170.09999999999,2.54065968
qwen_3_6_plus,minimal,NQ,0.775,0.7366666666666667,0.03833333333333333,0.905,0.7426162084056129,0.9139784946236559,0.9615384615384616,0.9371554575523705,425,40,118,17,0.25316455696202533,0.038461538461538464,0.0,1.0,13373.43,11064.5,30565.749999999996,0.808015975
qwen_3_6_plus,minimal,TQ,0.8516666666666667,0.84,0.011666666666666714,0.9716666666666667,0.8913593396352018,0.9765166340508806,0.9900793650793651,0.9832512315270936,499,12,84,5,0.125,0.00992063492063492,0.0,1.0,11398.05,8723.0,24774.399999999983,0.6504556499999999
solar_pro_3,minimal,NQ,0.7383333333333333,0.7366666666666667,0.0016666666666665941,0.8216666666666667,0.5394135055152004,0.8781038374717833,0.8800904977375565,0.8790960451977401,389,54,104,53,0.34177215189873417,0.11990950226244344,0.0,1.0,830.5,711.5,1331.1499999999999,0.02494542
solar_pro_3,minimal,TQ,0.8366666666666667,0.84,-0.0033333333333332993,0.9233333333333333,0.7171609518148838,0.9561752988047809,0.9523809523809523,0.9542743538767395,480,22,74,24,0.22916666666666666,0.047619047619047616,0.0,1.0,837.7583333333333,741.5,1309.7499999999993,0.03524234999999999
